side,price,size,time
buy,9132.01,0.0,2018-04-24T04:23:58.885Z
buy,9066.07,0.0015,2018-04-24T04:23:58.887Z
buy,9099.07,0.0015,2018-04-24T04:23:58.889Z
buy,9029.0,0.057,2018-04-24T04:23:58.907Z
buy,9165.01,0.0015,2018-04-24T04:23:58.914Z
buy,9201.46,0.0,2018-04-24T04:23:58.924Z
buy,9099.07,0.0,2018-04-24T04:23:58.933Z
buy,9165.01,0.0,2018-04-24T04:23:58.953Z
buy,9132.01,0.0015,2018-04-24T04:23:58.962Z
buy,9201.1,0.01,2018-04-24T04:23:58.964Z
buy,9197.37,0.0015,2018-04-24T04:23:58.965Z
buy,9066.07,0.0,2018-04-24T04:23:58.997Z
buy,9180.0,2.93988871,2018-04-24T04:23:59.011Z
buy,9201.1,0.0,2018-04-24T04:23:59.012Z
buy,9099.07,0.0015,2018-04-24T04:23:59.030Z
buy,9165.01,0.0015,2018-04-24T04:23:59.035Z
sell,9208.65,1.73035662,2018-04-24T04:23:59.254Z
buy,9208.64,29.95113806,2018-04-24T04:23:59.264Z
buy,9208.64,29.6550752,2018-04-24T04:23:59.267Z
buy,9197.37,0.0,2018-04-24T04:23:59.285Z
buy,9165.01,0.0,2018-04-24T04:23:59.305Z
buy,9132.01,0.0,2018-04-24T04:23:59.307Z
buy,9099.07,0.0,2018-04-24T04:23:59.308Z
buy,9066.07,0.0015,2018-04-24T04:23:59.313Z
buy,9200.86,0.01,2018-04-24T04:23:59.317Z
buy,9197.37,0.0015,2018-04-24T04:23:59.371Z
buy,9066.07,0.0,2018-04-24T04:23:59.388Z
buy,9099.07,0.0015,2018-04-24T04:23:59.396Z
buy,9197.37,0.0,2018-04-24T04:23:59.422Z
buy,9132.01,0.0015,2018-04-24T04:23:59.447Z
buy,9165.01,0.0015,2018-04-24T04:23:59.451Z
buy,9099.07,0.0,2018-04-24T04:23:59.471Z
buy,9066.07,0.0015,2018-04-24T04:23:59.501Z
buy,9197.37,0.0015,2018-04-24T04:23:59.503Z
buy,9165.01,0.0,2018-04-24T04:23:59.530Z
buy,9132.01,0.0,2018-04-24T04:23:59.585Z
buy,9099.07,0.0015,2018-04-24T04:23:59.693Z
sell,9217.57,0.81295629,2018-04-24T04:23:59.697Z
buy,9197.37,0.0,2018-04-24T04:23:59.698Z
buy,9165.01,0.0015,2018-04-24T04:23:59.701Z
buy,9132.01,0.0015,2018-04-24T04:23:59.702Z
buy,9208.64,41.2550752,2018-04-24T04:23:59.703Z
buy,9183.77,0.0,2018-04-24T04:23:59.704Z
sell,9208.65,1.64253708,2018-04-24T04:23:59.706Z
sell,9208.65,1.21212345,2018-04-24T04:23:59.709Z
sell,9208.65,0.98194765,2018-04-24T04:23:59.711Z
buy,9183.78,0.536045,2018-04-24T04:23:59.714Z
sell,9227.08,0.9,2018-04-24T04:23:59.715Z
sell,9231.69,0.0,2018-04-24T04:23:59.716Z
sell,9208.65,0.68123371,2018-04-24T04:23:59.717Z
sell,9227.08,0.0,2018-04-24T04:23:59.719Z
sell,9231.7,0.9,2018-04-24T04:23:59.721Z
sell,9227.09,0.9,2018-04-24T04:23:59.722Z
sell,9227.09,1.8,2018-04-24T04:23:59.724Z
buy,9200.86,0.0,2018-04-24T04:23:59.894Z
buy,9202.3,0.01,2018-04-24T04:23:59.901Z
buy,9208.64,41.2534052,2018-04-24T04:23:59.911Z
buy,9208.64,41.2550552,2018-04-24T04:23:59.918Z
buy,9202.3,0.0,2018-04-24T04:23:59.926Z
buy,9099.09,0.0015,2018-04-24T04:23:59.929Z
buy,9099.07,0.0,2018-04-24T04:23:59.951Z
buy,9197.37,0.0015,2018-04-24T04:23:59.959Z
buy,9165.01,0.0,2018-04-24T04:23:59.978Z
buy,9132.01,0.0,2018-04-24T04:23:59.979Z
buy,9066.09,0.0015,2018-04-24T04:23:59.985Z
buy,9202.9,0.01,2018-04-24T04:24:00.022Z
buy,9202.9,0.0,2018-04-24T04:24:00.049Z
buy,8950.69,0.1,2018-04-24T04:24:00.070Z
buy,9197.37,0.0,2018-04-24T04:24:00.097Z
buy,9165.01,0.0015,2018-04-24T04:24:00.121Z
buy,9132.01,0.0015,2018-04-24T04:24:00.130Z
buy,9066.07,0.0,2018-04-24T04:24:00.135Z
buy,9200.0,18.21900188,2018-04-24T04:24:00.143Z
buy,9197.37,0.0015,2018-04-24T04:24:00.155Z
sell,9208.66,1.3331433000000001,2018-04-24T04:24:00.212Z
buy,9029.01,0.0,2018-04-24T04:24:00.246Z
buy,9029.0,0.055999999999999994,2018-04-24T04:24:00.248Z
buy,9028.99,0.001,2018-04-24T04:24:00.255Z
buy,8949.7,0.0,2018-04-24T04:24:00.320Z
buy,8950.69,0.0,2018-04-24T04:24:00.323Z
sell,9208.65,0.21212345,2018-04-24T04:24:00.340Z
buy,8949.63,0.1,2018-04-24T04:24:00.383Z
buy,9203.49,0.01,2018-04-24T04:24:00.386Z
buy,9203.49,0.0,2018-04-24T04:24:00.436Z
buy,9208.64,29.655055199999996,2018-04-24T04:24:00.590Z
buy,9132.01,0.0,2018-04-24T04:24:00.606Z
buy,9197.37,0.0,2018-04-24T04:24:00.626Z
buy,9165.01,0.0,2018-04-24T04:24:00.627Z
buy,9099.09,0.0,2018-04-24T04:24:00.629Z
buy,9066.11,0.0015,2018-04-24T04:24:00.634Z
sell,9208.65,0.2094,2018-04-24T04:24:00.658Z
