,time,open,high,low,close,volume
59,2018-04-24 03:53:00,9192.0,9192.01,9192.0,9192.0,4.714037060000002
58,2018-04-24 03:54:00,9192.01,9192.01,9192.0,9192.0,7.13489367
57,2018-04-24 03:55:00,9192.01,9192.01,9192.0,9192.0,13.37561389
56,2018-04-24 03:56:00,9192.01,9192.01,9192.0,9192.01,2.47677615
55,2018-04-24 03:57:00,9192.01,9192.01,9192.0,9192.01,1.36758259
54,2018-04-24 03:58:00,9192.01,9192.01,9192.0,9192.0,6.606305490000001
53,2018-04-24 03:59:00,9192.0,9192.01,9192.0,9192.0,5.425335769999999
52,2018-04-24 04:00:00,9192.01,9192.01,9192.0,9192.01,1.52899145
51,2018-04-24 04:01:00,9192.0,9197.0,9192.0,9196.99,18.08238939
50,2018-04-24 04:02:00,9196.99,9200.0,9196.99,9200.0,2.43500673
49,2018-04-24 04:03:00,9200.0,9202.2,9200.0,9202.2,8.00787528
48,2018-04-24 04:04:00,9202.19,9205.0,9202.19,9205.0,28.520041439999993
47,2018-04-24 04:05:00,9205.0,9210.0,9205.0,9210.0,36.16145270000001
46,2018-04-24 04:06:00,9210.0,9214.95,9210.0,9214.95,5.541132650000001
45,2018-04-24 04:07:00,9214.95,9214.99,9214.95,9214.98,5.775902779999999
44,2018-04-24 04:08:00,9214.99,9214.99,9214.98,9214.99,6.159237090000001
43,2018-04-24 04:09:00,9214.99,9219.29,9214.99,9219.29,12.575620189999995
42,2018-04-24 04:10:00,9219.29,9219.99,9219.29,9219.99,9.795776130000002
41,2018-04-24 04:11:00,9219.98,9219.99,9219.98,9219.98,4.3195367000000005
40,2018-04-24 04:12:00,9219.98,9219.99,9219.98,9219.98,4.08047984
39,2018-04-24 04:13:00,9219.99,9220.0,9219.98,9219.99,15.937301419999997
38,2018-04-24 04:14:00,9220.0,9224.96,9219.99,9224.96,22.04907662999999
37,2018-04-24 04:15:00,9224.96,9224.96,9224.95,9224.96,3.18292971
36,2018-04-24 04:16:00,9224.95,9224.96,9220.44,9220.44,20.803349660000002
35,2018-04-24 04:17:00,9220.32,9220.32,9200.0,9200.01,23.92944046000003
34,2018-04-24 04:18:00,9200.01,9200.01,9200.0,9200.0,3.6486668100000004
33,2018-04-24 04:19:00,9200.0,9200.01,9200.0,9200.01,1.0546142699999999
32,2018-04-24 04:20:00,9200.01,9200.01,9200.0,9200.01,2.8303135299999997
31,2018-04-24 04:21:00,9200.01,9200.01,9200.0,9200.01,2.90380749
30,2018-04-24 04:22:00,9200.01,9204.2,9200.0,9203.87,5.4917287499999965
29,2018-04-24 04:23:00,9203.87,9208.65,9203.87,9208.65,9.819123909999998
28,2018-04-24 04:24:00,9208.65,9210.0,9208.65,9210.0,5.962892540000001
27,2018-04-24 04:25:00,9209.99,9210.0,9209.99,9209.99,12.204329479999998
26,2018-04-24 04:26:00,9209.99,9210.0,9209.99,9210.0,18.97778505
25,2018-04-24 04:27:00,9210.0,9210.0,9209.99,9209.99,2.03131538
24,2018-04-24 04:28:00,9210.0,9210.0,9209.99,9210.0,3.6909985999999995
23,2018-04-24 04:29:00,9210.0,9210.0,9209.99,9209.99,2.1747162500000004
22,2018-04-24 04:30:00,9209.99,9210.01,9209.99,9210.01,2.1045433100000004
21,2018-04-24 04:31:00,9210.01,9210.01,9210.0,9210.01,4.52614371
20,2018-04-24 04:32:00,9210.01,9214.99,9210.01,9214.99,2.275253089999999
19,2018-04-24 04:33:00,9214.99,9215.0,9214.98,9214.99,4.468551219999999
18,2018-04-24 04:34:00,9215.0,9217.0,9214.99,9215.97,22.271702269999995
17,2018-04-24 04:35:00,9215.97,9219.55,9215.96,9219.55,4.01521966
16,2018-04-24 04:36:00,9219.55,9220.0,9219.55,9220.0,14.536099430000002
15,2018-04-24 04:37:00,9220.0,9220.74,9219.99,9220.74,9.99087061
14,2018-04-24 04:38:00,9220.74,9220.74,9220.73,9220.74,3.61705242
13,2018-04-24 04:39:00,9220.73,9223.0,9220.73,9220.96,10.015260110000002
12,2018-04-24 04:40:00,9222.95,9222.95,9220.88,9220.88,4.63253038
11,2018-04-24 04:41:00,9220.89,9225.0,9220.89,9225.0,45.35187745999998
10,2018-04-24 04:42:00,9225.0,9229.99,9225.0,9229.99,20.977234859999996
9,2018-04-24 04:43:00,9229.99,9235.0,9229.98,9235.0,50.55680983999996
8,2018-04-24 04:44:00,9235.0,9237.0,9234.99,9237.0,21.550617400000007
7,2018-04-24 04:45:00,9236.99,9237.0,9236.99,9237.0,5.03631195
6,2018-04-24 04:46:00,9237.0,9237.0,9236.99,9237.0,7.22226995
5,2018-04-24 04:47:00,9237.0,9237.0,9220.73,9220.74,78.42959814999998
4,2018-04-24 04:48:00,9220.74,9227.65,9220.73,9220.74,10.831441150000002
3,2018-04-24 04:49:00,9220.74,9234.24,9220.74,9232.02,16.893378489999996
2,2018-04-24 04:50:00,9232.02,9232.5,9232.01,9232.5,3.7051152199999993
1,2018-04-24 04:51:00,9232.5,9236.4,9225.75,9226.3,24.274001250000012
0,2018-04-24 04:52:00,9227.62,9227.62,9227.61,9227.62,13.208367149999999
