side,price,size,time
buy,9214.98,12.97471883,2018-04-24T04:07:44.745Z
sell,9230.94,0.0,2018-04-24T04:07:44.750Z
buy,9198.26,0.5,2018-04-24T04:07:44.768Z
sell,9230.44,0.5,2018-04-24T04:07:44.771Z
buy,9214.98,13.97471883,2018-04-24T04:07:44.782Z
sell,9219.28,0.0,2018-04-24T04:07:44.786Z
sell,9214.99,2.23846921,2018-04-24T04:07:44.807Z
buy,9198.26,0.0,2018-04-24T04:07:44.832Z
buy,9193.46,0.01,2018-04-24T04:07:44.835Z
sell,9329.05,0.0015,2018-04-24T04:07:44.840Z
buy,9193.02,0.015,2018-04-24T04:07:44.844Z
buy,9198.01,0.5,2018-04-24T04:07:44.850Z
sell,9329.05,0.0,2018-04-24T04:07:44.901Z
sell,9263.17,0.0015,2018-04-24T04:07:44.924Z
buy,9198.01,0.0,2018-04-24T04:07:44.928Z
buy,9214.98,12.97471883,2018-04-24T04:07:44.929Z
buy,9193.02,0.0,2018-04-24T04:07:44.935Z
buy,9193.46,0.025,2018-04-24T04:07:44.944Z
buy,9198.26,0.5,2018-04-24T04:07:44.946Z
buy,9193.46,0.015,2018-04-24T04:07:44.950Z
sell,9263.17,0.0,2018-04-24T04:07:44.964Z
sell,9214.99,2.13046921,2018-04-24T04:07:44.967Z
buy,9193.46,0.025,2018-04-24T04:07:44.980Z
sell,9214.99,2.26546921,2018-04-24T04:07:44.986Z
sell,9230.13,0.0015,2018-04-24T04:07:44.990Z
sell,9230.13,0.0,2018-04-24T04:07:45.029Z
buy,9193.46,0.015,2018-04-24T04:07:45.050Z
buy,9198.26,0.0,2018-04-24T04:07:45.078Z
sell,9214.99,3.26546921,2018-04-24T04:07:45.086Z
buy,9193.46,0.025,2018-04-24T04:07:45.088Z
sell,9214.99,3.26696921,2018-04-24T04:07:45.092Z
sell,9214.99,3.26546921,2018-04-24T04:07:45.136Z
buy,9198.01,0.5,2018-04-24T04:07:45.147Z
sell,9263.17,0.0015,2018-04-24T04:07:45.165Z
buy,9198.01,0.0,2018-04-24T04:07:45.243Z
buy,9198.26,0.5,2018-04-24T04:07:45.263Z
sell,9263.17,0.0,2018-04-24T04:07:45.275Z
sell,9230.13,0.0015,2018-04-24T04:07:45.307Z
sell,9215.47,0.10800000000000001,2018-04-24T04:07:45.486Z
sell,9218.0,0.36687509999999995,2018-04-24T04:07:45.492Z
sell,9230.13,0.0,2018-04-24T04:07:45.513Z
buy,9193.46,0.01,2018-04-24T04:07:45.540Z
sell,9296.05,0.0015,2018-04-24T04:07:45.544Z
buy,9055.14,0.0015,2018-04-24T04:07:45.548Z
buy,9193.01,0.015,2018-04-24T04:07:45.550Z
sell,9232.55,0.0,2018-04-24T04:07:45.551Z
buy,9154.01,0.0015,2018-04-24T04:07:45.611Z
buy,9088.14,0.0015,2018-04-24T04:07:45.624Z
buy,9187.11,0.0015,2018-04-24T04:07:45.644Z
buy,9055.14,0.0,2018-04-24T04:07:45.649Z
buy,9154.02,0.0015,2018-04-24T04:07:45.657Z
sell,9296.05,0.0,2018-04-24T04:07:45.667Z
buy,9154.01,0.0,2018-04-24T04:07:45.683Z
buy,9193.01,0.0,2018-04-24T04:07:45.688Z
buy,9121.14,0.0015,2018-04-24T04:07:45.693Z
sell,9263.18,0.0025,2018-04-24T04:07:45.695Z
buy,9193.46,0.025,2018-04-24T04:07:45.702Z
buy,9214.98,13.01604972,2018-04-24T04:07:45.714Z
buy,9187.11,0.0,2018-04-24T04:07:45.722Z
buy,9154.02,0.0,2018-04-24T04:07:45.723Z
buy,9153.35,0.0015,2018-04-24T04:07:45.728Z
sell,9263.18,0.001,2018-04-24T04:07:45.742Z
buy,9088.14,0.0,2018-04-24T04:07:45.854Z
buy,9121.14,0.0,2018-04-24T04:07:45.854Z
buy,9055.14,0.0015,2018-04-24T04:07:45.856Z
sell,9214.99,3.26696921,2018-04-24T04:07:45.857Z
buy,9187.11,0.0015,2018-04-24T04:07:45.859Z
buy,9153.35,0.0,2018-04-24T04:07:46.057Z
sell,9214.99,3.26546921,2018-04-24T04:07:46.060Z
buy,9088.14,0.0015,2018-04-24T04:07:46.061Z
buy,9198.26,0.0,2018-04-24T04:07:46.064Z
buy,9197.76,0.5,2018-04-24T04:07:46.066Z
buy,9187.11,0.0,2018-04-24T04:07:46.067Z
sell,9230.44,0.0,2018-04-24T04:07:46.069Z
buy,9121.14,0.0015,2018-04-24T04:07:46.070Z
buy,9197.76,0.0,2018-04-24T04:07:46.070Z
sell,9263.17,0.0015,2018-04-24T04:07:46.071Z
buy,9193.46,0.01,2018-04-24T04:07:46.073Z
buy,9193.02,0.015,2018-04-24T04:07:46.076Z
sell,9229.94,0.5,2018-04-24T04:07:46.078Z
buy,9055.14,0.0,2018-04-24T04:07:46.079Z
buy,9197.51,0.5,2018-04-24T04:07:46.081Z
buy,9153.35,0.0015,2018-04-24T04:07:46.082Z
buy,9121.14,0.0,2018-04-24T04:07:46.083Z
sell,9263.17,0.0,2018-04-24T04:07:46.084Z
buy,9187.11,0.0015,2018-04-24T04:07:46.085Z
sell,9230.13,0.0015,2018-04-24T04:07:46.087Z
buy,9088.14,0.0,2018-04-24T04:07:46.089Z
buy,9153.35,0.0,2018-04-24T04:07:46.090Z
buy,9055.14,0.0015,2018-04-24T04:07:46.093Z
buy,9193.02,0.0,2018-04-24T04:07:46.098Z
buy,9193.46,0.025,2018-04-24T04:07:46.099Z
buy,9193.46,0.015,2018-04-24T04:07:46.101Z
buy,9187.11,0.0,2018-04-24T04:07:46.102Z
sell,9230.13,0.0,2018-04-24T04:07:46.103Z
buy,9121.14,0.0015,2018-04-24T04:07:46.109Z
buy,9193.46,0.025,2018-04-24T04:07:46.112Z
buy,9153.35,0.0015,2018-04-24T04:07:46.152Z
buy,9088.14,0.0015,2018-04-24T04:07:46.154Z
sell,9329.05,0.0015,2018-04-24T04:07:46.181Z
buy,9197.38,0.0,2018-04-24T04:07:46.182Z
buy,9055.14,0.0,2018-04-24T04:07:46.184Z
buy,9193.46,0.01,2018-04-24T04:07:46.187Z
buy,9187.11,0.0015,2018-04-24T04:07:46.191Z
buy,9193.03,0.015,2018-04-24T04:07:46.193Z
buy,9196.88,1.4978981000000002,2018-04-24T04:07:46.277Z
buy,9088.14,0.0,2018-04-24T04:07:46.312Z
buy,9187.11,0.0,2018-04-24T04:07:46.316Z
buy,9153.35,0.0,2018-04-24T04:07:46.317Z
buy,9121.14,0.0,2018-04-24T04:07:46.318Z
buy,9055.13,0.0015,2018-04-24T04:07:46.320Z
sell,9329.05,0.0,2018-04-24T04:07:46.339Z
buy,9214.94,6.80388958,2018-04-24T04:07:46.342Z
buy,9214.98,11.17956598,2018-04-24T04:07:46.344Z
buy,9214.98,10.80756598,2018-04-24T04:07:46.346Z
sell,9214.99,5.76546921,2018-04-24T04:07:46.355Z
buy,9214.0,1.1114700000000002,2018-04-24T04:07:46.365Z
buy,9190.09,0.0,2018-04-24T04:07:46.377Z
sell,9233.43,0.9,2018-04-24T04:07:46.378Z
sell,9238.04,0.0,2018-04-24T04:07:46.380Z
sell,9233.43,0.0,2018-04-24T04:07:46.381Z
sell,9296.05,0.0015,2018-04-24T04:07:46.383Z
buy,9088.13,0.0015,2018-04-24T04:07:46.388Z
sell,9233.42,0.9,2018-04-24T04:07:46.390Z
sell,9233.42,1.8,2018-04-24T04:07:46.393Z
sell,9214.99,8.26546921,2018-04-24T04:07:46.395Z
buy,9190.08,0.536045,2018-04-24T04:07:46.396Z
sell,9214.99,5.76546921,2018-04-24T04:07:46.399Z
sell,9236.19,0.0,2018-04-24T04:07:46.400Z
buy,9214.98,10.20056598,2018-04-24T04:07:46.403Z
sell,9236.18,0.9,2018-04-24T04:07:46.408Z
sell,9236.18,0.0,2018-04-24T04:07:46.410Z
