side,price,size
sell,9192.01,4.660822
sell,9194.95,1.08683
sell,9194.99,0.0015
sell,9195,2.061
sell,9195.01,2.46394748
sell,9196,0.001
sell,9196.01,2.85214381
sell,9196.02,0.00543889
sell,9196.03,0.00114178
sell,9196.04,0.001794
sell,9196.05,0.47
sell,9196.55,0.0011417
sell,9196.56,0.26736756
sell,9196.79,2
sell,9197,1.301
sell,9197.01,0.32525375
sell,9198,0.001
sell,9198.12,6.2
sell,9198.88,0.02492412
sell,9199,0.016
sell,9200,1.93745683
sell,9200.05,0.93038094
sell,9201,0.001
sell,9201.01,0.235
sell,9202,0.016
sell,9202.01,0.02385725
sell,9202.07,0.025
sell,9202.2,10
sell,9202.34,4.8
sell,9202.61,0.17313305
sell,9203,0.29533957
sell,9203.1,0.013
sell,9203.12,0.013
sell,9203.83,2
sell,9203.84,1.166
sell,9204,0.1859
sell,9204.34,0.01659081
sell,9204.58,0.002
sell,9204.9,0.1
sell,9204.94,0.5
sell,9205,1.06277019
sell,9205.2,0.001
sell,9205.32,0.001
sell,9205.48,0.2
sell,9205.73,0.2
sell,9206,0.001
sell,9206.51,1
sell,9206.52,4.601
sell,9207,0.001
sell,9207.49,0.00341
sell,9208,0.15039287
sell,9208.43,8.549
sell,9208.76,0.1
sell,9209,0.301
sell,9209.55,0.01777777
sell,9209.94,0.00693
sell,9209.99,0.135
sell,9210,16.24959653
sell,9210.01,0.03222787
sell,9210.38,1.271
sell,9210.4,1.8
sell,9210.56,0.001
sell,9210.66,4.1
sell,9211,0.002
sell,9211.04,0.001
sell,9212,0.00353104
sell,9212.64,13
sell,9212.71,1.293
sell,9213,0.001
sell,9213.13,0.013
sell,9213.16,0.9
sell,9213.51,0.005
sell,9213.69,1.8
sell,9214,0.001
sell,9214.37,0.046
sell,9214.5,0.01
sell,9214.53,0.015
sell,9214.77,0.1087
sell,9214.91,4.65
sell,9214.95,0.03834311
sell,9215,10.901
sell,9215.01,0.001
sell,9215.31,0.015
sell,9215.56,0.05
sell,9216,0.051
sell,9217,0.001
sell,9217.54,0.2
sell,9218,0.3368751
sell,9218.18,0.05219103
sell,9218.59,0.0012
sell,9218.98,3
sell,9219,0.256
sell,9219.13,0.25860227
sell,9219.29,2
sell,9219.55,1.2
sell,9219.98,0.012114
sell,9219.99,20
sell,9220,14.26047937
sell,9220.73,0.005
sell,9220.93,3.062
sell,9221,2.54652851
sell,9221.4,0.74207922
sell,9221.89,0.00270656
sell,9222,0.027
sell,9222.44,1
sell,9222.51,0.01165678
sell,9222.61,0.98384
sell,9222.98,0.035
sell,9223,0.28039742
sell,9223.1,3.1
sell,9223.83,0.02
sell,9223.99,0.001
sell,9224,1.001
sell,9224.76,0.0275
sell,9224.89,1.3
sell,9224.96,3
sell,9225,16.42758509
sell,9225.1,0.001
sell,9225.19,0.00108724
sell,9225.34,0.005
sell,9225.5,1.40808027
sell,9225.51,0.00213232
sell,9225.53,0.0010872
sell,9225.65,0.001
sell,9225.94,0.0113
sell,9225.98,0.035
sell,9226,0.001
sell,9226.3,0.001308
sell,9226.8,0.05449856
sell,9226.84,1.158
sell,9227,0.191
sell,9227.14,5.9
sell,9227.16,0.002
sell,9227.39,0.001
sell,9227.5,0.48443469
sell,9227.56,0.007
sell,9227.74,0.00273664
sell,9227.81,0.25
sell,9228,0.36776648
sell,9228.2,0.001
sell,9228.23,0.5
sell,9228.48,0.0075
sell,9228.49,1
sell,9228.5,0.01
sell,9228.59,0.1085
sell,9228.9,1.00526504
sell,9228.98,0.035
sell,9228.99,0.015
sell,9229,0.001
sell,9229.01,0.05806905
sell,9229.26,0.01656512
sell,9229.76,2.541
sell,9229.99,20
sell,9230,4.56646114
sell,9230.14,0.07102599
sell,9230.25,0.007
sell,9231,0.401
sell,9231.16,0.001
sell,9231.31,0.001
sell,9231.38,0.005
sell,9231.39,0.009
sell,9231.98,0.035
sell,9231.99,0.00498329
sell,9232,0.02266334
sell,9232.01,0.09657075
sell,9232.6,0.001
sell,9232.88,0.1
sell,9232.99,0.001021
sell,9233,0.061
sell,9234,0.251
sell,9234.56,0.01
sell,9234.57,0.01
sell,9234.76,0.003
sell,9234.93,0.01
sell,9234.97,5
sell,9234.98,0.035
sell,9235,4.6276
sell,9235.39,0.001
sell,9235.57,0.057
sell,9236,0.20465741
sell,9236.08,0.001
sell,9236.99,0.025
sell,9237,0.101
sell,9237.24,0.00117958
sell,9237.28,0.02459683
sell,9237.33,0.001
sell,9237.83,0.00214132
sell,9237.98,0.035
sell,9238,0.001
sell,9238.01,0.01656512
sell,9238.08,20.7154
sell,9238.46,0.01
sell,9238.49,0.0075
sell,9238.55,0.0175
sell,9238.58,0.5
sell,9238.99,0.015
sell,9239,0.001
sell,9239.29,0.00273736
sell,9239.31,0.001
sell,9239.39,0.001
sell,9239.99,0.33220235
sell,9240,4.42579279
sell,9240.07,0.0022
sell,9240.19,0.008
sell,9240.26,0.007
sell,9240.94,0.015
sell,9240.98,0.035
sell,9241,0.402
sell,9241.12,0.001
sell,9241.2,0.00662252
sell,9241.38,0.005
sell,9241.39,0.008
sell,9241.5,0.164
sell,9242,0.0117
sell,9242.21,0.01
sell,9242.55,1.197
sell,9242.6,0.001
sell,9242.79,0.02015094
sell,9243,0.30927503
sell,9243.38,0.001
sell,9243.39,0.001
sell,9243.53,0.001737
sell,9243.58,0.007
sell,9243.74,0.005
sell,9243.98,0.035
sell,9244,0.906
sell,9244.42,0.02962811
sell,9244.99,0.001
sell,9245,4.51880639
sell,9245.04,0.001
sell,9245.35,12.65553248
sell,9245.65,0.5
sell,9245.98,0.01223044
sell,9246,0.051
sell,9246.08,0.001
sell,9246.76,0.01656512
sell,9246.98,0.035
sell,9247,2.162455
sell,9247.31,0.001
sell,9247.38,0.001
sell,9247.39,0.02548119
sell,9247.47,0.0055
sell,9247.5,0.2
