side,price,size
sell,9693,0.16111052
sell,9693.85,0.05
sell,9696.6,0.1
sell,9699.24,0.125
sell,9699.25,1.02998
sell,9699.28,0.1
sell,9699.99,0.25
sell,9700,2.85405581
sell,9700.41,0.001
sell,9700.54,0.001
sell,9701,2
sell,9701.31,0.0012
sell,9701.95,0.10358336
sell,9702.86,0.5
sell,9703.1,0.001
sell,9703.69,1.576
sell,9703.99,0.01
sell,9705,1.16009414
sell,9705.19,0.07609
sell,9706.8,0.2
sell,9707.63,0.001
sell,9707.99,1
sell,9708,1.34793707
sell,9708.14,13
sell,9708.16,4.8
sell,9708.21,0.01107763
sell,9708.86,0.001
sell,9709,0.0025
sell,9709.98,0.01
sell,9710,2.01916264
sell,9710.05,0.02
sell,9711.01,0.008755
sell,9712,0.1
sell,9712.31,6.5
sell,9712.38,0.08254
sell,9712.39,9.3097
sell,9712.42,4.9
sell,9712.89,1.559
sell,9712.97,0.2469
sell,9713.47,1.44951007
sell,9713.78,0.001
sell,9714,0.01
sell,9715,0.94876351
sell,9715.14,0.01952
sell,9716.02,1.133
sell,9716.03,0.05
sell,9716.26,0.0034001
sell,9716.59,2.7
sell,9717.12,0.5
sell,9718.72,0.25
sell,9718.77,1
sell,9718.84,0.001
sell,9719.63,0.01382206
sell,9719.89,3
sell,9720,1.15481368
sell,9720.05,1.63512657
sell,9720.21,0.08
sell,9720.31,0.0035981
sell,9720.45,0.02
sell,9720.51,5
sell,9721.87,0.02064
sell,9722.63,0.00242583
sell,9722.64,0.001
sell,9722.69,1.1
sell,9722.9,0.0069078
sell,9723,0.0172
sell,9723.38,0.09289
sell,9723.85,3.1
sell,9725,4.98846648
sell,9725.01,2.66148154
sell,9725.05,0.02
sell,9725.22,0.8
sell,9725.64,0.101
sell,9726,2.56848053
sell,9726.01,1
sell,9726.28,0.37331584
sell,9726.51,0.182
sell,9726.92,0.01
sell,9727,0.01
sell,9727.01,1.469767
sell,9727.44,4.3
sell,9727.68,1.10942462
sell,9727.78,0.001
sell,9728,0.1
sell,9728.13,0.001
sell,9728.62,0.04
sell,9728.64,0.06094535
sell,9729,2.81314503
sell,9729.06,0.00695196
sell,9729.15,0.0015
sell,9729.32,0.001
sell,9729.33,3.021853
sell,9729.4,0.015
sell,9729.41,0.01264939
sell,9729.5,0.01
sell,9729.77,0.017
sell,9729.97,0.01363341
sell,9729.98,1.2
sell,9729.99,21.001
sell,9730,10.44590614
sell,9730.19,0.00174899
sell,9730.2,0.01
sell,9730.31,0.103
sell,9730.48,0.0753
sell,9730.99,0.0015
sell,9731,0.00493262
sell,9731.36,0.00522799
sell,9731.47,0.00297357
sell,9731.55,0.01
sell,9731.62,6.13
sell,9731.66,0.02603451
sell,9731.71,0.00632762
sell,9731.97,5
sell,9731.98,0.009
sell,9731.99,0.031
sell,9732,0.06
sell,9732.11,0.3
sell,9732.14,0.004
sell,9732.28,0.002
sell,9732.66,0.00242341
sell,9732.99,0.001
sell,9733,0.01
sell,9733.14,0.01
sell,9733.15,0.0015
sell,9733.37,0.001
sell,9733.48,0.015
sell,9733.62,0.00174899
sell,9733.71,0.01363341
sell,9733.77,0.007
sell,9734.2,0.0059339
sell,9734.24,0.00173799
sell,9734.48,0.001
sell,9734.99,0.0015
sell,9735,4.96203542
sell,9735.34,0.00174899
sell,9735.57,5.86
sell,9735.65,0.00411474
sell,9735.9,0.1
sell,9735.91,19.63694899
sell,9735.99,0.031
sell,9736.06,1.21868546
sell,9736.14,0.004
sell,9736.28,0.002
sell,9736.48,0.01399192
sell,9736.59,3.6455783
sell,9737,0.088
sell,9737.05,0.00174899
sell,9737.45,0.01605561
sell,9737.58,0.028
sell,9737.7,1.97243854
sell,9737.99,0.001
sell,9738.2,0.00174899
sell,9738.22,0.039
sell,9738.39,0.00943787
sell,9738.85,0.06178167
sell,9738.98,0.016
sell,9738.99,0.0015
sell,9739.34,0.00174899
sell,9739.36,1.026761
sell,9739.43,0.01
sell,9739.44,0.001
sell,9739.46,0.01
sell,9739.6,0.001
sell,9739.78,0.96561979
sell,9739.91,0.00174899
sell,9739.99,0.032
sell,9740,4.241713
sell,9740.01,0.0015
sell,9740.14,0.004
sell,9740.28,0.002
sell,9740.65,0.17901429
sell,9741,0.05
sell,9741.07,0.025
sell,9741.08,0.0015
sell,9741.19,0.01363341
sell,9741.76,0.1
sell,9742,0.0125657
sell,9742.09,0.00904038
sell,9742.42,0.05
sell,9742.87,0.00173799
sell,9742.98,0.007
sell,9742.99,0.0025
sell,9743,1.52675496
sell,9743.48,0.015
sell,9743.55,0.00411141
sell,9743.65,0.00411137
sell,9743.8,0.5
sell,9743.9,0.01
sell,9743.99,0.031
sell,9744,0.865
sell,9744.14,0.004
sell,9744.25,0.1
sell,9744.28,0.002
sell,9744.33,0.1
sell,9744.38,0.86817
sell,9744.94,0.01363341
sell,9745,1.58904296
sell,9745.08,0.0015
sell,9745.15,0.0027
sell,9745.36,0.0095381
sell,9745.65,0.001
sell,9745.78,0.00103019
sell,9745.98,0.009
sell,9746,1.70821176
sell,9746.25,0.023
sell,9746.37,0.008275
sell,9746.38,0.00853325
sell,9746.41,0.01523
sell,9746.43,0.622
