side,price,size
buy,9192,7.48040715
buy,9191.15,1.08651
buy,9191.11,0.2013
buy,9191,4.63166877
buy,9190.26,2.33395
buy,9190.08,10.62235659
buy,9190.06,0.01184
buy,9190,3.51551836
buy,9189.6,0.01
buy,9189.33,2.37287827
buy,9189,0.34894056
buy,9188.88,0.2
buy,9188,3.11431958
buy,9187.19,0.1088
buy,9187,0.09002329
buy,9186.46,0.001
buy,9186.39,0.001
buy,9186,0.001
buy,9185.99,2.52
buy,9185.53,0.14325139
buy,9185.02,0.01
buy,9185,0.00219845
buy,9184,0.001
buy,9183,1.001
buy,9182.81,0.00530506
buy,9182.8,0.00108899
buy,9182.15,0.02150418
buy,9182,0.001
buy,9181.01,0.015
buy,9181,0.01765044
buy,9180.81,0.003469
buy,9180,8.34643025
buy,9179.71,2.605
buy,9179.43,0.0035361
buy,9179.38,0.001
buy,9179,3.201
buy,9178,0.001
buy,9177.78,1
buy,9177.77,0.2
buy,9177.5,0.87624225
buy,9177.28,2.06540982
buy,9177,0.001
buy,9176.73,2
buy,9176.58,3.9
buy,9176,0.001
buy,9175.49,0.0054
buy,9175,0.71310794
buy,9174.35,0.11153737
buy,9174.11,11
buy,9174,1.001
buy,9173.6,0.00109008
buy,9173.43,0.109
buy,9173.33,0.001
buy,9173.05,0.53
buy,9173,1.06907037
buy,9172.76,0.5
buy,9172.4,0.036
buy,9172.18,4.6
buy,9172.02,0.15
buy,9172,0.001
buy,9171.78,0.002
buy,9171.6,1.1
buy,9171.42,1.50205629
buy,9171.01,0.218
buy,9171,0.001
buy,9170.78,0.01
buy,9170.67,0.05452239
buy,9170.59,0.0561401
buy,9170.35,0.25
buy,9170.3,0.0180195
buy,9170.25,0.00253864
buy,9170.12,0.00345
buy,9170,4.9622535
buy,9169.99,6.78811
buy,9169.98,0.2355
buy,9169.89,0.001
buy,9169.66,1
buy,9169.38,0.001
buy,9169.19,0.8
buy,9169,0.001
buy,9168.99,1.934
buy,9168.82,0.003451
buy,9168.56,4.8
buy,9168,0.001
buy,9167.66,0.001
buy,9167.23,0.001
buy,9167.17,0.536045
buy,9167,0.001
buy,9166.98,0.035
buy,9166.93,1.8
buy,9166.66,0.1986544
buy,9166,0.302
buy,9165.38,0.0035399
buy,9165,0.02813942
buy,9164.99,0.001
buy,9164.84,0.048
buy,9164.77,0.98071144
buy,9164.45,0.0312
buy,9164.44,1
buy,9164.4,0.00109117
buy,9164.31,0.04270397
buy,9164,0.02104048
buy,9163.98,0.035
buy,9163.76,3.04
buy,9163.19,0.001
buy,9163,0.001
buy,9162.76,0.001
buy,9162.6,0.101
buy,9162.5,0.2619682
buy,9162.07,0.01191068
buy,9162,0.2143147
buy,9161.71,0.0249
buy,9161.38,0.001
buy,9161.17,0.01981945
buy,9161.07,0.025
buy,9161.02,0.00254117
buy,9161,25.95897712
buy,9160.98,0.035
buy,9160.84,0.003456
buy,9160.1,0.15
buy,9160,5.45958167
buy,9159.99,0.001
buy,9159.85,0.00531191
buy,9159.72,3.94
buy,9159.23,0.39575676
buy,9159.18,0.001
buy,9159.05,0.001
buy,9159,0.001
buy,9158.99,0.015
buy,9158.98,0.1
buy,9158,0.001
buy,9157.98,2.373
buy,9157.58,7.68710189
buy,9157.38,0.001
buy,9157,0.001
buy,9156.99,0.01
buy,9156.61,1.079
buy,9156.32,0.001847
buy,9156.31,0.029
buy,9156.15,0.001
buy,9156,0.34776982
buy,9155.86,3.4
buy,9155.6,1.267
buy,9155.2,0.00109227
buy,9155.16,0.33136058
buy,9155,1.05566958
buy,9154.99,0.001
buy,9154.98,0.035
buy,9154.8,0.037
buy,9154.25,0.1365
buy,9154,0.001
buy,9153.39,0.001
buy,9153.38,0.001
buy,9153.34,0.01110195
buy,9153.31,0.001
buy,9153,0.001
buy,9152.85,0.00270939
buy,9152.05,0.06546405
buy,9152.01,0.025
buy,9152,0.39321417
buy,9151.99,0.0312
buy,9151.98,0.035
buy,9151.92,0.2185
buy,9151.39,0.824
buy,9151.38,0.005
buy,9151.3,0.24639059
buy,9151.27,4.9
buy,9151.11,0.05463818
buy,9151.1,0.2691
buy,9151,1.54158235
buy,9150.01,0.001
buy,9150,6.28509023
buy,9149.99,0.001
buy,9149.94,0.001
buy,9149.44,0.002186
buy,9149.39,0.001
buy,9149,0.486
buy,9148.99,0.016
buy,9148.98,0.035
buy,9148.53,0.025
buy,9148.37,0.001
buy,9148.1,0.1
buy,9148,0.001
buy,9147.73,6.5
buy,9147.05,0.041
buy,9147,0.101
buy,9146,0.001
buy,9145.98,0.035
buy,9145.55,0.5
buy,9145.45,0.05
buy,9145.39,0.001
buy,9145.31,0.001
buy,9145,0.38159596
buy,9144.56,0.36
buy,9144.41,0.001
buy,9144.06,0.00185
buy,9144,0.081
buy,9143.9,1.84390941
buy,9143.48,5.776
buy,9143.33,0.1
buy,9143,0.511
buy,9142.98,0.035
buy,9142,0.0532855
buy,9141.41,0.0026949
buy,9141.39,0.034
buy,9141.38,0.005
buy,9141.27,0.001
buy,9141,0.001
buy,9140.4,2.73061252
buy,9140,2.86363883
buy,9139.87,0.002
buy,9138.99,0.015
buy,9138.48,0.052
buy,9138.33,0.02
buy,9138,0.002
buy,9137.39,0.001
buy,9137.35,1
buy,9137.31,0.001
buy,9137.18,0.01
buy,9137.09,0.00630314
buy,9137.04,6.43
buy,9137,0.0092
buy,9136.43,0.05
buy,9136.35,0.11829402
buy,9136,0.001
buy,9135.7,0.98384
buy,9135.32,0.5
buy,9135.01,0.001
buy,9135,0.001
buy,9134.74,0.25
buy,9134.17,0.001
buy,9134,0.001
buy,9133.62,5
buy,9133.61,1.273
buy,9133.45,0.024
buy,9133.09,0.05
buy,9133,0.001
buy,9132.75,0.00219
buy,9132.6,1.626
buy,9132.54,0.001852
buy,9132.5,0.18156346
buy,9132.22,0.05475119
buy,9132.01,5
buy,9132,3.2522
buy,9131.96,0.06299053
buy,9131.39,0.008
buy,9131.38,0.005
buy,9131,0.061
buy,9130.97,0.10009944
buy,9130.2,0.52912896
buy,9130.03,0.001
buy,9130.01,0.001
buy,9130,1.25735147
buy,9129.98,0.00269828
buy,9129.38,0.022
buy,9129.31,0.001
buy,9129,0.001
buy,9128.11,10.01
buy,9128.05,0.001
buy,9128.04,0.01951
buy,9128,0.001
buy,9127.67,0.055
buy,9127.62,0.001
buy,9127.05,0.16044003
buy,9127,0.10124871
buy,9126.69,0.001
buy,9126.62,0.1
buy,9126.13,0.001
buy,9126,0.011
buy,9125.01,0.05
buy,9125,0.3372864
buy,9124,0.001
buy,9123.76,0.015
buy,9123.26,0.01
buy,9123,0.001
buy,9122.85,0.03821165
buy,9122.71,0.1
buy,9122.5,0.005
buy,9122.3,0.6
buy,9122,0.05721586
buy,9121.39,0.008
buy,9121.38,0.005
buy,9121.05,0.001
buy,9121,0.011
buy,9120.34,0.03204366
buy,9120.01,0.001
buy,9120,3.26651893
buy,9119.99,0.015
buy,9119,0.001
buy,9118.88,0.75
buy,9118.57,0.00268819
buy,9118.56,0.03
buy,9118,0.056
buy,9117.82,0.02411548
buy,9117.79,9.094
buy,9117.23,0.1
buy,9117,0.001
buy,9116.89,0.375
buy,9116.82,0.025
buy,9116.28,0.06
buy,9116,0.00464693
buy,9115.88,0.05
buy,9115.82,0.39288374
buy,9115.33,0.002194
buy,9115.25,0.001
buy,9115,0.001
buy,9114.99,0.001
buy,9114.41,0.1
buy,9114.28,0.00530907
buy,9114,0.501
buy,9113.59,0.01
buy,9113.46,0.11956
buy,9113.33,0.05486468
buy,9113,0.001
buy,9112.27,0.01
buy,9112.13,0.011
buy,9112,0.27278132
buy,9111.39,0.028
buy,9111.38,0.005
buy,9111,3.004
buy,9110.88,0.1
buy,9110.41,1
buy,9110,26.83840522
buy,9109.99,0.015
buy,9109,6.16583452
buy,9108.03,0.001
buy,9108,0.001
buy,9107.83,1.83370526
buy,9107.8,0.41924
buy,9107.22,0.1
buy,9107.17,0.00268961
buy,9107.03,0.05996846
buy,9107,2.211
buy,9106.26,0.01
buy,9106,2.64550516
buy,9105.94,0.25
buy,9105.76,0.05
buy,9105.58,8.39981762
buy,9105,2.13347971
buy,9104.55,1.1
buy,9104.1,1
buy,9104.03,0.001
buy,9104,5.101
buy,9103.89,0.063
buy,9103.35,26.2
buy,9103.34,0.025
buy,9103.3,0.03
buy,9103.11,0.1
buy,9103,0.4649
buy,9102,0.43070379
buy,9101.99,0.350299
buy,9101.85,0.0068
buy,9101.79,1.005
buy,9101.58,0.05
buy,9101.39,0.007
buy,9101.06,0.01
buy,9101,1.52268705
buy,9100.78,0.1
buy,9100.15,0.1245
