side,price,size
buy,9692.99,9.79874518
buy,9692.98,0.00254526
buy,9692.95,0.05
buy,9692.78,0.01
buy,9692.69,9.64811343
buy,9692.67,0.0387
buy,9692.34,0.0233
buy,9692.14,0.0387
buy,9692,0.0549
buy,9691.63,0.0233
buy,9691.61,0.0387
buy,9691.43,0.00331
buy,9691.07,0.0233
buy,9691.04,0.0387
buy,9690.46,0.0387
buy,9690.35,0.0233
buy,9690.01,0.0215985
buy,9690,2.02
buy,9689.69,0.0233
buy,9689.64,0.0387
buy,9689.27,0.001
buy,9688.89,0.05914444
buy,9688.73,0.0233
buy,9688.18,0.05
buy,9688.11,0.2
buy,9687.98,0.0387
buy,9687.75,0.0233
buy,9687.66,0.00243068
buy,9687.61,0.50941561
buy,9687,0.01
buy,9686.9,0.238
buy,9686.86,0.0233
buy,9686.59,0.04106
buy,9686.55,0.22844326
buy,9686.45,0.0387
buy,9686.24,0.03956
buy,9685.5,0.22829169
buy,9685.24,0.03035
buy,9685.02,0.025
buy,9685,2.43771778
buy,9684.19,2.73
buy,9684.05,0.00692169
buy,9683.88,0.0318
buy,9683.62,0.10919
buy,9683.44,0.047
buy,9683.24,0.2582
buy,9683.23,0.04263
buy,9682.98,0.04331
buy,9682.93,0.03595
buy,9681.9,0.05245
buy,9681.83,8.9776
buy,9681.67,0.13798
buy,9681.43,0.0024319
buy,9681.42,0.04522
buy,9681.41,0.03357
buy,9681,1.17294188
buy,9680.99,0.03282733
buy,9680.89,1
buy,9680.84,0.50682998
buy,9680.79,0.03406
buy,9680.5,0.005
buy,9680.47,0.001
buy,9680.44,0.001
buy,9680.42,0.004442
buy,9680.4,0.04661
buy,9680.37,0.001
buy,9680.28,0.001
buy,9680.25,2.6
buy,9680.06,0.0441
buy,9680,0.888689
buy,9679.9,0.003
buy,9679.75,0.062168
buy,9679.44,0.01
buy,9679.27,0.0023
buy,9679.06,0.15168488
buy,9678.67,0.03502
buy,9678.48,0.05549
buy,9678.11,0.00243311
buy,9677.85,1
buy,9677.84,1.46369385
buy,9677.77,0.05333675
buy,9677.69,0.03677
buy,9677.04,0.04818
buy,9677,0.08713088
buy,9676.83,1.63608218
buy,9676.74,1.84149
buy,9676.43,0.24917
buy,9676.38,0.00113678
buy,9676.27,0.04753898
buy,9676.24,0.01151997
buy,9676,1.005
buy,9675.86,2.33
buy,9675.77,0.001
buy,9675.71,0.04799
buy,9675.3,0.1
buy,9675.25,0.50526408
buy,9675.23,0.05077
buy,9675.04,0.03866
buy,9675.02,0.05
buy,9675.01,0.11761044
buy,9675,0.40469717
buy,9674.95,0.046
buy,9674.64,0.01022372
buy,9674.21,0.05215
buy,9674.04,0.00243433
buy,9674,0.051685
buy,9673.89,0.01
buy,9673.87,0.04964
buy,9673.83,0.9
buy,9672.87,0.04143
buy,9672.46,2.98
buy,9672.29,0.04047
buy,9671.89,0.9
buy,9671.5,0.04175
buy,9671,2
buy,9670.86,0.05371
buy,9670.71,0.0030177
buy,9670.35,0.001
buy,9670,3.19924818
buy,9669.52,0.05354
buy,9669.34,0.04327
buy,9669.07,0.00243555
buy,9669.05,0.0563
buy,9669.04,0.04351
buy,9668.99,1.07139935
buy,9668.85,0.04363
buy,9668.52,3.18
buy,9668.12,0.00205876
buy,9668.02,0.0577
buy,9668,0.22
buy,9667.93,1.15771906
buy,9667.68,0.15523
buy,9667.67,0.05702
buy,9666.68,0.04698
buy,9666.66,0.25
buy,9666.59,0.05
buy,9666.1,0.04544
buy,9666.03,0.11519236
buy,9666,1.2
buy,9665.89,0.001
buy,9665,0.0461
buy,9664.67,0.15926
buy,9664.62,0.0069356
buy,9664.52,0.001
buy,9664.02,0.1
buy,9664.01,0.001
buy,9663.66,0.00202
buy,9663.48,0.015
buy,9663.12,0.29887294
buy,9663,1
buy,9662.85,0.04848
buy,9662.82,0.18
buy,9662.69,0.01
buy,9662.49,0.04875
buy,9661.84,0.06324
buy,9661.67,0.84
buy,9661.55,0.86817
buy,9661.49,0.06256
buy,9661,1.10732502
buy,9660.99,0.025
buy,9660.55,0.001
buy,9660,2.73891597
buy,9659.92,0.10041
buy,9659.09,0.2587
buy,9659.08,0.001
buy,9659.03,0.25
buy,9658.63,0.2936
buy,9658.62,0.00301769
buy,9658.48,0.06481
buy,9658.14,0.004
buy,9657.99,0.032
buy,9657.51,0.55441806
buy,9657.46,0.06669
buy,9657,0.1
buy,9656.93,0.00113907
buy,9656.66,0.05345
buy,9656.3,0.05372
buy,9656.01,0.03
buy,9656,0.2
buy,9655.96,0.0048
buy,9655.75,1
buy,9655.67,0.001
buy,9655.65,0.06878
buy,9655.3,0.06811
buy,9655.26,0.00996784
buy,9655,2.45489585
buy,9654.64,0.281
buy,9654.34,1
buy,9654.33,21.6472
buy,9653.99,0.031
buy,9653.73,0.05538
buy,9653.48,0.015
buy,9653.43,5
buy,9653.07,1.1
buy,9653,1.025
buy,9652.99,0.001
buy,9652.76,0.16591109
buy,9652.47,1.257
buy,9652,0.42
buy,9651.58,0.6893
buy,9651.51,0.45744385
buy,9651.27,0.07223
buy,9651,0.2085
buy,9650.75,1
buy,9650.33,0.201
buy,9650.12,0.05869
buy,9650.05,0.00205827
buy,9650,46.38559561
buy,9649.99,0.034
buy,9649.63,0.99355486
buy,9649.37,0.07441
buy,9649.35,0.001
buy,9649.11,0.07365
buy,9648.56,0.001787
buy,9648.51,0.00156138
buy,9648.08,0.02382579
buy,9648,0.5
buy,9647.99,0.001
buy,9647.96,0.03
buy,9647.91,0.044
buy,9647.63,0.2
buy,9647.59,0.3
buy,9647.54,0.06036
buy,9646.55,0.00301399
buy,9646.19,0.0051
buy,9645.99,0.031
buy,9645.97,13
buy,9645.72,0.595
buy,9645.69,0.3
buy,9645.19,0.00694957
buy,9645.17,0.005
buy,9645.1,10
buy,9645.02,1.1454
buy,9645,10.54328202
buy,9644.99,0.001
buy,9644.97,0.100754
buy,9644.79,0.001
buy,9644,0.83733985
buy,9643.99,0.001
buy,9643.93,0.06366
buy,9643.75,1
buy,9643.48,1.483
buy,9642.99,0.002
buy,9642.79,0.001
buy,9642.75,0.001
buy,9642.25,0.25
buy,9642.19,0.01857965
buy,9642,0.28084255
buy,9641.99,0.032
buy,9641.82,0.01196514
buy,9641,1.56589373
buy,9640.99,0.001
buy,9640.01,0.03
buy,9640,9.83389617
buy,9639.99,0.001
buy,9639,0.0025
buy,9638.33,0.001
buy,9638,0.5
buy,9637.99,0.031
buy,9637.74,0.06863
buy,9637,0.13629722
buy,9636.85,0.16759708
buy,9636.56,0.06615569
buy,9636.39,0.02
buy,9636.06,0.72779036
buy,9636,4
buy,9635.68,0.005
buy,9635.54,1
buy,9635.47,0.001
buy,9635,0.15356352
buy,9634.71,0.042
buy,9634.49,0.00296533
buy,9634.28,1.066
buy,9633.99,0.03
buy,9633.95,0.001
buy,9633.89,0.01
buy,9633.81,0.21
buy,9633.48,0.115
buy,9633.28,3
buy,9633,0.93992963
buy,9632.99,0.001
buy,9631,0.07
buy,9630.86,0.036251
buy,9630.85,0.09128996
buy,9630.18,0.5
buy,9630.1,0.001
buy,9630,6.12042064
buy,9629.99,0.031
buy,9629.5,0.05149701
buy,9629.3,5
buy,9629.29,1.00441633
buy,9628.28,0.002
buy,9628,0.13831552
buy,9627.69,0.001
buy,9627.36,0.051
buy,9627.32,0.015
buy,9627.18,0.01
buy,9627,0.0407
buy,9626.99,0.0015
buy,9626.75,0.68271612
buy,9626,0.02
buy,9625.99,0.03
buy,9625.77,0.00696359
buy,9625.74,0.001
buy,9625.14,0.0211
buy,9625,0.61602727
buy,9624.98,0.009
buy,9624.28,0.002
buy,9623.85,8.68169999
buy,9623.76,0.001
buy,9623.69,0.1
buy,9623.48,0.015
buy,9623.07,1.45866185
buy,9623,0.1
buy,9622.99,0.0015
buy,9622.8,0.03237495
buy,9622.61,0.00553346
buy,9622.45,0.00296233
buy,9622,0.5
buy,9621.99,0.03
buy,9621.95,0.09304852
buy,9621.61,0.001
buy,9621.41,0.23756501
buy,9621,2
buy,9620.69,0.11037229
buy,9620.65,0.5
buy,9620.28,0.002
buy,9620.18,0.25
buy,9620,9.3285939
buy,9619.99,0.001
buy,9619.1,0.06235
buy,9618.99,0.0015
buy,9618.8,0.02
buy,9618.47,0.02022983
buy,9618.44,0.054
buy,9618.14,0.61054059
buy,9618.11,1.689
buy,9618,0.02599
buy,9617.84,0.01
buy,9617.6,0.45565374
buy,9617.58,0.45008868
buy,9617.05,0.0052
buy,9617,0.07
buy,9616.98,0.009
